when,module,battery,15cm,15cm_bias,45cm,45cm_bias,75cm,75cm_bias
2017-05-04T18:29:45.753Z,01,5.117884635925293,931,-503,563,268,575,203
2017-05-04T18:59:29.325Z,01,5.0946221351623535,935,-501,559,263,573,196
2017-05-04T19:29:08.961Z,01,5.0946221351623535,940,-492,559,263,572,204
2017-05-04T19:58:47.647Z,01,5.071569442749023,940,-505,556,266,571,197
2017-05-04T20:57:55.045Z,01,5.04872465133667,946,-481,552,252,570,204
2017-05-04T21:27:25.975Z,01,5.04872465133667,955,-498,552,257,573,201
2017-05-04T21:56:56.376Z,01,5.04872465133667,960,-502,550,262,571,201
2017-05-04T22:26:26.513Z,01,5.026083946228027,958,-491,548,250,569,209
2017-05-04T22:55:56.415Z,01,5.026083946228027,960,-498,544,250,570,198
2017-05-04T23:25:25.873Z,01,5.026083946228027,972,-510,548,254,573,203
2017-05-04T23:54:55.502Z,01,5.026083946228027,965,-513,544,250,570,199
2017-05-05T00:24:25.500Z,01,5.0036468505859375,967,-497,545,244,572,205
2017-05-05T00:53:55.602Z,01,5.0036468505859375,964,-509,542,249,570,199
2017-05-05T01:23:25.721Z,01,5.0036468505859375,972,-523,544,256,572,197
2017-05-05T01:52:56.200Z,01,5.0036468505859375,972,-509,545,249,573,203
2017-05-05T02:22:26.598Z,01,5.0036468505859375,974,-512,543,257,572,204
2017-05-05T02:51:56.713Z,01,5.0036468505859375,996,-527,539,254,569,197
2017-05-05T03:21:25.572Z,01,4.98140811920166,1073,-548,543,250,571,201
2017-05-05T03:50:54.574Z,01,4.98140811920166,1119,-589,544,255,573,198
2017-05-05T04:20:23.216Z,01,4.98140811920166,1146,-610,543,262,569,197
2017-05-05T04:49:51.819Z,01,4.98140811920166,1134,-601,539,261,570,198
2017-05-05T05:19:20.282Z,01,4.98140811920166,1123,-586,536,258,569,195
2017-05-05T05:48:48.473Z,01,4.98140811920166,1117,-561,535,248,571,202
2017-05-05T06:18:16.660Z,01,4.98140811920166,1109,-548,533,246,571,199
2017-05-05T06:47:44.910Z,01,4.959366321563721,1104,-550,533,244,571,201
2017-05-05T07:17:13.211Z,01,4.959366321563721,1087,-540,529,239,569,198
2017-05-05T07:46:41.677Z,01,4.959366321563721,1094,-539,532,242,572,202
2017-05-05T08:16:10.095Z,01,4.959366321563721,1088,-553,531,248,571,194
2017-05-05T08:45:38.502Z,01,4.959366321563721,1088,-534,533,244,572,201
2017-05-05T09:15:08.400Z,01,4.959366321563721,1070,-528,531,240,569,200
2017-05-05T09:44:42.163Z,01,4.959366321563721,1076,-525,532,241,573,202
2017-05-05T10:14:20.577Z,01,4.98140811920166,1068,-535,533,244,573,196
2017-05-05T10:43:58.498Z,01,4.98140811920166,1052,-512,533,244,573,198
2017-05-05T11:13:42.030Z,01,4.98140811920166,1053,-515,536,242,575,200
2017-05-05T11:43:35.069Z,01,5.0036468505859375,1037,-502,534,239,575,202
2017-05-05T12:13:33.231Z,01,5.0036468505859375,1036,-510,537,245,575,201
2017-05-05T12:43:36.863Z,01,5.026083946228027,1026,-513,535,253,573,200
2017-05-05T13:13:45.456Z,01,5.026083946228027,1020,-508,537,253,575,198
2017-05-05T13:43:56.915Z,01,5.04872465133667,1010,-478,538,237,576,208
2017-05-05T14:14:09.581Z,01,5.04872465133667,1014,-494,539,250,578,205
2017-05-05T14:44:22.611Z,01,5.04872465133667,1018,-489,541,248,576,200
2017-05-05T15:14:35.446Z,01,5.04872465133667,1012,-492,538,249,575,205
2017-05-05T15:44:41.102Z,01,5.04872465133667,1008,-504,537,249,578,196
2017-05-05T16:14:44.167Z,01,5.04872465133667,991,-468,537,250,573,201
2017-05-05T16:44:44.341Z,01,5.04872465133667,996,-481,537,251,576,204
2017-05-05T17:14:41.780Z,01,5.04872465133667,996,-482,537,246,578,203
2017-05-05T17:44:33.966Z,01,5.026083946228027,990,-480,536,252,575,201
2017-05-05T18:14:20.673Z,01,5.026083946228027,977,-473,534,243,575,198
2017-05-05T18:44:05.468Z,01,5.026083946228027,989,-500,532,246,575,195
2017-05-05T19:13:46.664Z,01,5.0036468505859375,991,-502,533,246,577,198
2017-05-05T19:43:28.301Z,01,5.0036468505859375,997,-497,532,250,576,202
2017-05-05T20:13:05.645Z,01,5.0036468505859375,998,-498,533,248,576,202
2017-05-05T20:42:38.950Z,01,4.98140811920166,1004,-500,531,251,572,202
2017-05-05T21:12:09.874Z,01,4.98140811920166,1003,-509,530,249,576,194
2017-05-05T21:41:39.914Z,01,4.959366321563721,1010,-516,529,253,571,194
2017-05-05T22:11:09.385Z,01,4.959366321563721,1010,-488,529,237,571,207
2017-05-05T22:40:38.493Z,01,4.959366321563721,1018,-499,531,245,575,199
2017-05-05T23:10:07.464Z,01,4.93751859664917,1018,-505,530,250,572,202
2017-05-05T23:39:35.964Z,01,4.93751859664917,1008,-503,527,240,569,198
2017-05-06T00:09:03.962Z,01,4.93751859664917,1018,-518,529,246,573,192
2017-05-06T00:38:31.914Z,01,4.93751859664917,1018,-497,531,242,573,201
2017-05-06T01:07:59.458Z,01,4.915863037109375,1018,-504,530,251,570,199
2017-05-06T01:37:26.689Z,01,4.915863037109375,1010,-491,528,243,567,197
2017-05-06T02:06:53.754Z,01,4.915863037109375,1019,-503,530,245,571,200
2017-05-06T02:36:21.156Z,01,4.915863037109375,1021,-507,530,245,571,201
2017-05-06T03:05:48.463Z,01,4.915863037109375,1018,-522,530,248,570,193
2017-05-06T03:35:15.475Z,01,4.915863037109375,1012,-511,530,244,571,196
2017-05-06T04:04:42.130Z,01,4.8943963050842285,1019,-510,532,245,569,203
2017-05-06T04:34:08.374Z,01,4.8943963050842285,1011,-493,530,245,567,196
2017-05-06T05:03:34.622Z,01,4.8943963050842285,1009,-495,531,246,566,198
2017-05-06T05:33:00.935Z,01,4.8943963050842285,1010,-490,533,240,568,205
2017-05-06T06:02:27.431Z,01,4.8943963050842285,1011,-490,533,245,568,202
2017-05-06T06:31:54.023Z,01,4.8943963050842285,1019,-507,535,250,570,201
2017-05-06T07:01:20.566Z,01,4.8943963050842285,1008,-506,532,244,568,196
2017-05-06T07:30:47.099Z,01,4.873116970062256,1017,-508,535,247,571,199
2017-05-06T08:00:13.672Z,01,4.873116970062256,1009,-493,532,237,569,202
2017-05-06T08:29:39.992Z,01,4.873116970062256,1020,-509,536,244,571,199
2017-05-06T08:59:06.161Z,01,4.873116970062256,1012,-500,535,238,571,202
2017-05-06T09:28:33.202Z,01,4.873116970062256,1015,-513,536,250,571,198
2017-05-06T10:57:24.995Z,01,4.915863037109375,995,-517,538,253,572,193
2017-05-06T11:27:14.846Z,01,4.93751859664917,980,-499,539,241,570,198
2017-05-06T11:57:11.634Z,01,4.959366321563721,968,-488,540,244,573,195
2017-05-06T12:27:10.848Z,01,4.959366321563721,970,-493,541,253,574,198
2017-05-06T12:57:09.703Z,01,4.959366321563721,955,-492,542,247,575,195
2017-05-06T13:27:16.623Z,01,4.98140811920166,943,-486,541,248,572,196
2017-05-06T13:57:27.130Z,01,4.98140811920166,952,-498,545,253,575,195
2017-05-06T14:27:35.088Z,01,5.0036468505859375,947,-482,543,244,578,199
