when,d15cm_modulo1,d45cm_modulo1,d75cm_modulo1,d15cm_modulo2,d45cm_modulo2,d75cm_modulo2,d15cm_modulo3,d45cm_modulo3,d75cm_modulo3,d15cm_modulo4,d45cm_modulo4,d75cm_modulo4,wetness_modulo5,temperature_modulo5
2017-05-01 09:00:00.000,1040.51432193637,371.046801263355,560.051868531067,803.424076094028,750.845939426513,2557.92538380811,3542.30900258282,1165.57939669171,3435.73354200496,904,1001,1228,961.876270498042,27.5767514041431
2017-05-01 10:00:00.000,1039.16508919296,373.954856302547,560.195961348324,803.886370067537,749.899337480759,2524.67323871362,3560.68897164995,1165.31221361623,3435.08784957256,904,1001,1228,962.685463559932,27.5864916909992
2017-05-01 11:00:00.000,1037.81585644955,376.862911341738,560.340054165582,804.348664041045,748.952735535004,2491.42109361913,3579.06894071707,1165.04503054076,3434.44215714016,904,1001,1228,963.494656621821,27.5962319778553
2017-05-01 12:00:00.000,1036.46662370615,379.77096638093,560.484146982839,804.810958014553,748.006133589249,2458.16894852465,3597.4489097842,1164.77784746528,3433.79646470776,904,1001,1228,964.303849683711,27.6059722647113
2017-05-01 13:00:00.000,1035.11739096274,382.679021420121,560.628239800096,805.273251988061,747.059531643494,2424.91680343016,3615.82887885133,1164.51066438981,3433.15077227536,904,1001,1228,965.1130427456,27.6157125515674
2017-05-01 14:00:00.000,1033.76815821933,385.587076459313,560.772332617353,805.73554596157,746.112929697739,2391.66465833568,3634.20884791845,1164.24348131433,3432.50507984296,904,1001,1228,965.92223580749,27.6254528384235
2017-05-01 15:00:00.000,1032.41892547592,388.495131498505,560.916425434611,806.197839935078,745.166327751984,2358.41251324119,3652.58881698558,1163.97629823885,3431.85938741056,904,1001,1228,966.731428869379,27.6351931252796
2017-05-01 16:00:00.000,1031.06969273251,391.403186537696,561.060518251868,806.660133908586,744.219725806229,2325.16036814671,3670.96878605271,1163.70911516338,3431.21369497816,904,1001,1228,967.540621931268,27.6449334121356
2017-05-01 17:00:00.000,1029.7204599891,394.311241576888,561.204611069125,807.122427882094,743.273123860474,2291.90822305222,3689.34875511983,1163.4419320879,3430.56800254576,904,1001,1228,968.349814993158,27.6546736989917
2017-05-01 18:00:00.000,1028.37122724569,397.21929661608,561.348703886382,807.584721855603,742.326521914719,2258.65607795773,3707.72872418696,1163.17474901242,3429.92231011336,904,1001,1228,969.159008055047,27.6644139858478
2017-05-01 19:00:00.000,1027.02199450228,400.127351655271,561.49279670364,808.047015829111,741.379919968964,2225.40393286325,3726.10869325409,1162.90756593695,3429.27661768096,904,1001,1228,969.968201116937,27.6741542727039
2017-05-01 20:00:00.000,1025.67276175888,403.035406694463,561.636889520897,808.509309802619,740.433318023209,2192.15178776876,3744.48866232121,1162.64038286147,3428.63092524856,904,1001,1228,970.777394178826,27.6838945595599
2017-05-01 21:00:00.000,1024.32352901547,405.943461733654,561.780982338154,808.971603776127,739.486716077454,2158.89964267428,3762.86863138834,1162.373199786,3427.98523281616,904,1001,1228,971.586587240716,27.693634846416
2017-05-01 22:00:00.000,1022.97429627206,408.851516772846,561.925075155411,809.433897749636,738.540114131699,2125.64749757979,3781.24860045547,1162.10601671052,3427.33954038376,904,1001,1228,972.395780302605,27.7033751332721
2017-05-01 23:00:00.000,1021.62506352865,411.759571812038,562.069167972669,809.896191723144,737.593512185944,2092.3953524853,3799.62856952259,1161.83883363504,3426.69384795136,904,1001,1228,973.204973364495,27.7131154201282
2017-05-02 00:00:00.000,1020.27583078524,414.667626851229,562.213260789926,810.358485696652,736.646910240189,2059.14320739082,3818.00853858972,1161.57165055957,3426.04815551896,904,1001,1228,974.014166426384,27.7228557069843
2017-05-02 01:00:00.000,1018.92659804183,417.575681890421,562.357353607183,810.82077967016,735.700308294434,2025.89106229633,3836.38850765685,1161.30446748409,3425.40246308656,904,1001,1228,974.823359488273,27.7325959938403
2017-05-02 02:00:00.000,1017.57736529842,420.483736929613,562.50144642444,811.283073643668,734.753706348679,1992.63891720185,3854.76847672398,1161.03728440862,3424.75677065415,904,1001,1228,975.632552550163,27.7423362806964
2017-05-02 03:00:00.000,1016.22813255501,423.391791968804,562.645539241698,811.745367617177,733.807104402924,1959.38677210736,3873.1484457911,1160.77010133314,3424.11107822175,904,1001,1228,976.441745612053,27.7520765675525
2017-05-02 04:00:00.000,1014.87889981161,426.299847007996,562.789632058955,812.207661590685,732.860502457169,1926.13462701288,3891.52841485823,1160.50291825766,3423.46538578935,904,1001,1228,977.250938673942,27.7618168544086
2017-05-02 05:00:00.000,1013.5296670682,429.207902047187,562.933724876212,812.669955564193,731.913900511414,1892.88248191839,3909.90838392536,1160.23573518219,3422.81969335695,904,1001,1228,978.060131735831,27.7715571412646
2017-05-02 06:00:00.000,1012.18043432479,432.115957086379,563.077817693469,813.132249537701,730.967298565659,1859.6303368239,3928.28835299248,1159.96855210671,3422.17400092455,904,1001,1228,978.869324797721,27.7812974281207
2017-05-02 07:00:00.000,1010.83120158138,435.024012125571,563.221910510727,813.59454351121,730.020696619904,1826.37819172942,3946.66832205961,1159.70136903124,3421.52830849215,904,1001,1228,979.67851785961,27.7910377149768
2017-05-02 08:00:00.000,1009.48196883797,437.932067164762,563.366003327984,814.056837484718,729.074094674149,1793.12604663493,3965.04829112674,1159.43418595576,3420.88261605975,904,1001,1228,980.4877109215,27.8007780018329
